NOC_CODE,OASIS_LABEL,Reading Comprehension,Writing,Numeracy,Digital Literacy,Oral Communication: Active Listening,Oral Communication: Oral Comprehension,Oral Communication: Oral Expression,Critical Thinking,Decision Making,Evaluation,Learning and Teaching Strategies,Problem Solving,Systems Analysis,Digital Production,Preventative Maintenance,Equipment and Tool Selection,Operation and Control,Operation Monitoring of Machinery and Equipment,Quality Control Testing,Repairing,Setting up,Product Design,Troubleshooting,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Monitoring,Time Management,Coordinating,Instructing,Negotiating,Persuading,Social Perceptiveness,Categorization Flexibility,Deductive Reasoning,Fluency of Ideas,Inductive Reasoning,Information Ordering,Mathematical Reasoning,Memorizing,Multitasking,Numerical Ability,Pattern Identification,Pattern Organization Speed,Perceptual Speed,Problem Identification,Selective Attention,Spatial Orientation,Spatial Visualization,Verbal Ability,Written Comprehension,Written Expression,Body Flexibility,Dynamic Strength,Explosive Strength,Gross Body Coordination,Gross Body Equilibrium,Multi-Limb Coordination,Stamina,Static Strength,Trunk Strength,Arm-Hand Steadiness,Control of Settings,Finger Dexterity,Manual Dexterity,Multi-Signal Response,Rate Control,Reaction Time,Speed of Limb Movement,Finger-Hand-Wrist Motion,Auditory Attention,Depth Perception,Far Vision,Glare Tolerance,Hearing Sensitivity,Near Vision,Night Vision,Peripheral Vision,Speech Clarity,Speech Recognition,Sound Localization,Colour Perception,Total_Impact_0_1,Total_Impact_%
1002,Advertising managers,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4,4,5,3,3,3,3,2,3,3,3,2,3,2,0,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2,4,0,0,4,4,0,3,0.5154960981047939,51.55
1002,Banking and other investment managers,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4,4,4,3,4,5,4,3,4,4,4,3,4,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,4,0,1,0.5429208472686736,54.29
1002,Credit managers,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3,4,4,3,4,5,4,3,5,4,4,3,4,3,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,4,0,1,0.5315496098104796,53.15
1002,E-business managers,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,5,3,3,3,3,3,3,2,3,2,4,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,4,4,0,2,0.4898550724637682,48.99
1002,Insurance managers,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4,3,4,3,4,5,4,3,5,4,3,3,4,3,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,4,0,1,0.5275362318840581,52.75
1002,Marketing managers,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3,4,5,3,3,4,4,3,4,3,3,3,3,2,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,3,0,0,4,4,0,2,0.5192865105908586,51.93
1002,Mortgage broker managers,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3,4,4,3,3,5,3,3,4,2,3,3,3,3,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,4,4,0,1,0.49141583054626553,49.14
1002,Other business services managers,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3,3,3,3,4,3,3,3,3,3,2,1,3,2,0,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,0,0,3,3,0,2,0.46243032329988865,46.24
1002,Public relation managers,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3,3,5,3,3,3,3,3,3,2,3,2,3,2,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,5,4,0,2,0.5072463768115943,50.72
1002,Real estate service managers,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3,3,4,3,3,3,3,2,4,2,2,1,3,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,1,1,3,3,0,2,0.4579710144927536,45.8
1002,Securities manager,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4,4,4,4,4,5,4,3,5,4,4,3,4,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,3,4,0,1,0.5516164994425866,55.16
1003,Telecommunication carriers managers,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,3,2,4,4,3,3,3,3,2,1,3,2,1,2,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,3,3,0,1,0.5001114827201785,50.01
1110,Accountants,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,4,4,3,3,4,5,3,2,5,3,3,3,3,3,0,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,2,0,1,0.44838350055741377,44.84
1110,Brokers,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4,4,3,4,3,4,2,2,5,3,3,2,3,2,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,0,0,3,3,0,1,0.4506131549609811,45.06
1110,Financial Underwriters,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3,3,2,4,3,4,3,3,4,3,2,2,3,4,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,4,3,0,2,0.4564102564102565,45.64
1110,Financial advisors,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3,5,3,4,3,5,3,2,5,3,3,2,3,2,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,4,4,0,1,0.47447045707915275,47.45
1110,Financial analysts,4.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4,4,4,4,4,5,3,2,5,3,3,2,3,3,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,3,3,0,1,0.46733556298773693,46.73
1110,Financial auditors,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4,4,4,4,4,5,4,2,5,4,4,3,3,3,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,3,4,0,2,0.4925306577480491,49.25
1110,Financial examiners and inspectors,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,4,5,3,4,4,5,4,2,5,4,4,3,4,2,0,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,3,4,0,2,0.5132664437012263,51.33
1110,Financial investigators,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,4,3,4,4,4,4,3,3,4,3,2,2,4,3,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,4,3,0,2,0.469119286510591,46.91
1110,Investment analysts,4.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4,4,4,4,4,5,3,2,5,3,3,2,3,3,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,3,3,0,1,0.4657748049052397,46.58
1110,Mortgage brokers,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2,3,2,4,3,3,2,1,4,2,2,1,2,1,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,4,0,0,3,3,0,1,0.37302118171683396,37.3
1110,Securities agents and investment dealers,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4,5,4,4,3,4,2,2,5,2,3,2,3,2,0,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,3,3,0,1,0.4595317725752508,45.95
1110,Trust officers,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4,4,4,4,4,4,4,2,5,3,4,3,4,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,4,0,1,0.5168338907469342,51.68
1120,Human resources professionals,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3,3,3,3,3,3,3,1,3,3,2,2,3,3,0,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,3,0,0,3,3,0,1,0.43812709030100344,43.81
1120,Professional occupations in business management consulting,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4,4,4,4,4,4,3,2,3,3,3,1,3,2,0,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,3,3,0,1,0.4813823857302119,48.14
1120,"Professional occupations in marketing, advertising and public relations",4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3,3,4,3,3,3,3,2,3,2,3,3,3,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,3,0,0,4,4,0,2,0.45551839464882954,45.55
1201,"Supervisors, finance and insurance office workers",3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3,3,3,3,3,4,3,3,4,2,2,3,3,2,0,0,3,3,3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,2,1,1,0,2,3,0,1,3,3,0,2,0.4437012263099221,44.37
1201,"Supervisors, general office and administrative support workers",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3,3,3,2,2,2,3,3,3,2,2,2,3,2,0,1,3,3,3,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,2,1,1,0,2,3,0,1,3,3,0,2,0.4231884057971015,42.32
1201,"Supervisors, library, correspondence and related information workers",4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3,3,3,2,3,3,3,3,3,3,3,2,3,2,0,1,3,4,3,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,2,1,1,0,2,3,0,1,3,3,0,2,0.44726867335562986,44.73
1201,"Supervisors, supply chain, tracking and scheduling coordination occupations",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,2,4,2,1,3,3,3,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,2,1,2,3,0,1,3,3,1,2,0.48561872909699,48.56
1210,Conference and event planners,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3,3,3,2,3,2,2,4,3,2,2,2,3,2,1,3,3,3,3,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,2,1,3,1,1,3,1,0,3,3,0,2,0.42853957636566337,42.85
1210,Excise tax revenue officers,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2,3,3,3,2,3,3,1,4,3,2,2,2,1,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,3,0,0,2,3,0,1,0.35362318840579715,35.36
1210,Executive assistants,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,2,3,3,3,3,3,3,2,2,2,2,2,0,1,3,3,3,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,2,1,1,0,2,3,0,0,4,4,0,2,0.4060200668896321,40.6
1210,Government benefits services officers,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2,3,2,3,2,3,2,2,2,2,2,1,2,2,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,2,0,0,3,3,0,0,0.3206243032329989,32.06
1210,Human resources and recruitment officers,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,2,2,1,2,3,2,1,3,2,0,0,4,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,1,3,0,0,3,3,0,1,0.37837235228539584,37.84
1210,Procurement and purchasing agents and officers,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3,3,3,3,3,3,2,2,3,3,2,2,3,2,0,1,4,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,3,0,1,0.40802675585284276,40.8
1211,Court reporters,3.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2,2,0,1,2,0,3,2,0,1,1,2,2,3,0,0,4,3,3,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,4,3,0,1,0,2,3,0,0,3,5,0,0,0.2717948717948719,27.18
